Issuer,Bloomberg.ID,Maturity,Amount.issued,Credit.rating,Credit.rating..,Yield,RELBBSW
ORIGIN ENERGY FINANCE,EJ387965 Corp,3.863107461,629960942.4,BBB-,1,5.529207685,1.630322883
SYDNEY AIRPORT FINANCE,EI684902 Corp,2.598220397,100000000,BBB,2,3.380601882,1.630322883
AMCOR LTD,EI603020 Corp,3.375770021,778044985.1,BBB,2,3.740898675,1.630322883
ASCIANO FINANCE,EI409804 Corp,4.815879535,629260618.8,BBB,2,4.52912833,1.630322883
APT PIPELINES LTD,EJ450801 Corp,8.991101985,536242320.2,BBB,2,5.254408053,1.630322883
CROWN RESORTS LTD,EJ321753 Corp,56.79123888,531970000,BBB,2,7.922454359,1.630322883
APT PIPELINES LTD,EJ320296 Corp,56.83504449,515000000,BBB,2,7.393058241,1.630322883
WOODSIDE FINANCE LTD,EI664116 Corp,5.442847365,648688722.1,BBB+,3,5.150969164,1.630322883
CALTEX AUSTRALIA LTD,EI883417 Corp,2.981519507,150000000,BBB+,3,3.420588666,1.630322883
ASCIANO FINANCE,EI630791 Corp,7.351129363,238960045.9,BBB,2,5.572889857,1.630322883
APT PIPELINES LTD,EI325336 Corp,4.643394935,300000000,BBB,2,4.006912342,1.630322883
AGL ENERGY LTD,EJ045687 Corp,23.52087611,650000000,BBB,2,7.164938717,1.630322883
SYDNEY AIRPORT FINANCE,EI421490 Corp,5.232032854,509995920,BBB,2,4.367262977,1.630322883
APT PIPELINES LTD,EJ390616 Corp,6.863791923,730211274.5,BBB,2,5.26357197,1.630322883
BRISBANE AIRPORT CORP LT,EI620440 Corp,3.605749487,200000000,BBB,2,3.592447085,1.630322883
WOOLWORTHS LIMITED,EI847978 Corp,20.98562628,700248300,BBB+,3,5.972857017,1.630322883
TABCORP HLDS LTD,EJ028099 Corp,21.30869268,250000000,BBB-,1,7.274251396,1.630322883
WOOLWORTHS LIMITED,EI404435 Corp,4.813141684,786988457.5,BBB+,3,4.285838999,1.630322883
DBNGP FINANCE CO PTY,EF359019 Corp,2.403832991,325000000,BBB-,1,3.531972477,1.630322883
WOOLWORTHS LIMITED,EI634847 Corp,5.366187543,525159935.1,BBB+,3,4.532837308,1.630322883
ORIGIN ENERGY FINANCE,EJ610528 Corp,7.345653662,187758167.5,BBB-,1,7.097022751,1.630322883
Sydney Airport Finance,EG021985 Corp,6.863791923,750000000,BBB,2,4.364897582,1.630322883
WOODSIDE FINANCE LTD,EH735069 Corp,3.249828884,936768149.9,BBB+,3,4.517555092,1.630322883
ORIGIN ENERGY FINANCE LT,EI836446 Corp,5.872689938,483558994.2,BBB-,1,6.288141253,1.630322883
JEMENA LTD,CP502909 Corp,2.373716632,231875096.6,BBB+,3,4.648917814,1.630322883
ORIGIN ENERGY FINANCE,EJ860347 Corp,5.845311431,1149590458,BBB-,1,6.499861894,1.630322883
SYDNEY AIRPORT FINANCE,EG064076 Corp,5.973990418,200000000,BBB,2,4.442613081,1.630322883
LEIGHTON FINANCE USA PTY,EI702147 Corp,4.640657084,130370706.3,BBB-,1,5.877409054,1.630322883
LEIGHTON FINANCE LTD,EI156229 Corp,2.874743326,115598478.2,BBB-,1,5.462400938,1.630322883
TRANSURBAN FINANCE CO PT,EI159209 Corp,4.084873374,139177239.5,BBB+,3,3.96857864,1.630322883
NEXUS AUSTRALIA MGT,EI204261 Corp,3.750855578,190000000,BBB-,1,3.425303946,1.630322883
TRANSURBAN FINANCE CO PT,EI160802 Corp,4.084873374,72000000,BBB+,3,3.6568488,1.630322883
COCA-COLA AMATIL LTD,EJ271436 Corp,6.611909651,30000000,BBB+,3,3.895526165,1.630322883
TRANSURBAN FINANCE CO PT,EI159229 Corp,4.6954141,207752555.4,BBB+,3,4.183484756,1.630322883
APT PIPELINES LTD,EI157720 Corp,2.776180698,95526914.33,BBB,2,4.905364103,1.630322883
TRANSURBAN FINANCE CO PT,EH725553 Corp,2.95687885,237268690.4,BBB+,3,3.626148178,1.630322883
COCA-COLA AMATIL LTD,EI814473 Corp,5.826146475,30000000,BBB+,3,3.862831696,1.630322883
APT PIPELINES LTD,EI193567 Corp,3.58384668,92787331.44,BBB,2,5.401268018,1.630322883
APT PIPELINES LTD,EI168528 Corp,6.455852156,62000000,BBB,2,4.428412432,1.630322883
APT PIPELINES LTD,EI168508 Corp,6.455852156,148538572.1,BBB,2,5.833212803,1.630322883
APT PIPELINES LTD,EI168484 Corp,3.455167693,146142788.7,BBB,2,4.992855705,1.630322883
APT PIPELINES LTD,EI168516 Corp,6.455852156,81000000,BBB,2,4.393423419,1.630322883
APT PIPELINES LTD,EI168496 Corp,3.455167693,68000000,BBB,2,3.765447833,1.630322883
QANTAS AIRWAYS LTD,EK269091 Corp,6.466803559,300000000,BBB-,1,5.710089582,1.630322883
COCA-COLA AMATIL LTD,EK262202 Corp,5.472963723,100000000,BBB+,3,3.760200239,1.630322883
SYDNEY AIRPORT FINANCE,EK156115 Corp,8.396988364,1041976779,BBB,2,5.110988,1.630322883
Transurban Finance Co Pty Ltd,EK4655081 Corp,8.796714579,855553971.2,BBB+,3,4.938980144,1.630322883
Aurizon Network Pty Ltd,EK4685294 Corp,8.802190281,719114051.5,BBB+,3,5.339293567,1.630322883
Coca-Cola Amatil Ltd,EK4152378 Corp,5.700205339,100000000,BBB+,3,3.660102845,1.630322883
Brambles Finance Ltd,EK3156859 Corp,8.533880903,718287602.4,BBB+,3,4.828362444,1.630322883
SGSP Australia Assets Pty Ltd,EK3157451 Corp,6.581793292,726427429.9,BBB+,3,4.918693994,1.630322883
Adani Abbot Point Terminal Pty Ltd,EK2849330 Corp,4.495550992,100000000,BBB-,1,5.970207557,1.630322883
QPH Finance Co Pty Ltd,EK3554137 Corp,5.60164271,200000000,BBB,2,4.01171606,1.630322883
Crown Group Finance Ltd,EK5876389 Corp,3.967145791,450000000,BBB,2,4.260933194,1.630322883
AGL Energy Ltd,EK5737813 Corp,5.932922656,600000000,BBB,2,4.374935412,1.630322883
Alumina Ltd,EK5989620 Corp,3.969883641,125000000,BBB-,1,4.757277337,1.630322883
Sun Group Finance Pty Ltd,EK6279310 Corp,6.023271732,250000000,BBB,2,4.547573122,1.630322883
Sun Group Finance Pty Ltd,EK6424791 Corp,9.045859001,200000000,BBB,2,4.924912641,1.630322883
Incitec Pivot Finance LLC,EI0704078 Corp,4.027378508,874030372.6,BBB,2,4.664904421,1.630322883
DBNGP Finance Co Pty Ltd,EK5107249 Corp,4.837782341,100000000,BBB-,1,4.158870433,1.630322883
Brambles Finance PLC,EI6460709 Corp,2.387405886,679902094.1,BBB+,3,3.294494875,1.630322883
Brambles USA Inc,EI2000491 Corp,4.336755647,544721647.2,BBB+,3,4.190683606,1.630322883
Asciano Finance Ltd,EK9072910 Corp,9.467488022,350000000,BBB,2,5.247199419,1.630322883
APT Pipelines Ltd,EK8055148 Corp,6.308008214,973845297.7,BBB,2,4.964212466,1.630322883
APT Pipelines Ltd,EK8055262 Corp,14.30800821,1154201293,BBB,2,5.723676063,1.630322883
Transurban Finance Co Pty Ltd,EK9118226 Corp,9.744010951,715000715,BBB+,3,5.118185178,1.630322883
Woodside Finance Ltd,EK7758478 Corp,9.262149213,1288825880,BBB+,3,5.779421241,1.630322883
APT Pipelines Ltd,EK8055387 Corp,11.30732375,904284919.3,BBB,2,5.708044775,1.630322883
APT Pipelines Ltd,EK8078215 Corp,9.311430527,1398068124,BBB,2,5.704344158,1.630322883
Sydney Airport Finance Co Pty Ltd,EK8787450 Corp,9.415468857,633151829.8,BBB,2,4.9877024,1.630322883
Energy Partnership Gas Pty Ltd,EK9545295 Corp,4.542094456,210000000,BBB-,1,4.101541937,1.630322883
APT Pipelines Ltd,EK8078397 Corp,19.3100616,381291306.6,BBB,2,6.641332455,1.630322883
DBNGP Finance Co Pty Ltd,UV3027009 Corp,7.8275154,125000000,BBB-,1,4.638527992,1.630322883
Energy Partnership Gas Pty Ltd,EK9580078 Corp,4.542094456,20000000,BBB-,1,4.004518529,1.630322883
Qantas Airways Ltd,EK3117976 Corp,5.53045859,400000000,BBB-,1,5.547167853,1.630322883
Coca-Cola Amatil Ltd,UV8551672 Corp,9.801505818,30000000,BBB+,3,4.089738927,1.630322883
Brambles USA Inc,QJ2217868 Corp,9.897330595,692904656.3,BBB+,3,5.205904112,1.630322883
Transurban Finance Co Pty Ltd,QJ4132016 Corp,10.17659138,770631918.2,BBB+,3,5.321069655,1.630322883
Downer Group Finance Pty Ltd,EK7841308 Corp,6.277891855,250000000,BBB,2,4.814592743,1.630322883
Virgin Australia 2013-1B Trust,EJ8710489 Corp,4.898015058,124296456.5,BBB,2,6.426481125,1.630322883
Australian Gas Networks Vic 3 Pty Ltd,EK6519434 Corp,6.047912389,325000000,BBB+,3,4.056928126,1.630322883
Shopping Centres Australasia Property Retail Trust,EK8553381 Corp,5.388090349,175000000,BBB+,3,4.064506565,1.630322883
Downer Group Finance Pty Ltd,EJ6876910 Corp,2.997946612,150000000,BBB,2,4.107935905,1.630322883
Praeco Pty Ltd,EG9952441 Corp,4.65982204,215690000,BBB,2,5.500894536,1.630322883
Praeco Pty Ltd,EG9959446 Corp,4.709103354,52000000,BBB,2,11.41136507,1.630322883
